Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
2017,12,10,Schweiz,Weiblich
2017,12,35,Ausland,Weiblich
2017,12,26,Schweiz,Männlich
2017,12,31,Ausland,Männlich
1900,13,994,Schweiz,Weiblich
1900,13,297,Ausland,Weiblich
1900,13,1111,Schweiz,Männlich
1900,13,323,Ausland,Männlich
1950,13,20,Schweiz,Weiblich
1950,13,24,Ausland,Weiblich
1950,13,15,Schweiz,Männlich
1950,13,16,Ausland,Männlich
2017,13,12,Schweiz,Weiblich
2017,13,22,Ausland,Weiblich
2017,13,24,Schweiz,Männlich
2017,13,26,Ausland,Männlich
1900,14,1054,Schweiz,Weiblich
1900,14,287,Ausland,Weiblich
1900,14,1071,Schweiz,Männlich
1900,14,292,Ausland,Männlich
1950,14,26,Schweiz,Weiblich
1950,14,21,Ausland,Weiblich
1950,14,25,Schweiz,Männlich
1950,14,16,Ausland,Männlich
2017,14,12,Schweiz,Weiblich
2017,14,29,Ausland,Weiblich
2017,14,15,Schweiz,Männlich
2017,14,29,Ausland,Männlich
1900,15,983,Schweiz,Weiblich
1900,15,274,Ausland,Weiblich
1900,15,1064,Schweiz,Männlich
1900,15,286,Ausland,Männlich
1950,15,34,Schweiz,Weiblich
1950,15,13,Ausland,Weiblich
1950,15,24,Schweiz,Männlich
1950,15,16,Ausland,Männlich
2017,15,33,Schweiz,Weiblich
2017,15,26,Ausland,Weiblich
2017,15,24,Schweiz,Männlich
2017,15,36,Ausland,Männlich
1900,16,1066,Schweiz,Weiblich
1900,16,245,Ausland,Weiblich
1900,16,1148,Schweiz,Männlich
1900,16,308,Ausland,Männlich
1950,16,32,Schweiz,Weiblich
1950,16,31,Ausland,Weiblich
1950,16,25,Schweiz,Männlich
1950,16,24,Ausland,Männlich
2017,16,35,Schweiz,Weiblich
2017,16,33,Ausland,Weiblich
2017,16,20,Schweiz,Männlich
2017,16,56,Ausland,Männlich
1900,17,1018,Schweiz,Weiblich
1900,17,231,Ausland,Weiblich
1900,17,1114,Schweiz,Männlich
1900,17,328,Ausland,Männlich
1950,17,35,Schweiz,Weiblich
1950,17,26,Ausland,Weiblich
1950,17,27,Schweiz,Männlich
1950,17,26,Ausland,Männlich
2017,17,51,Schweiz,Weiblich
2017,17,44,Ausland,Weiblich
2017,17,35,Schweiz,Männlich
2017,17,84,Ausland,Männlich
1900,18,1125,Schweiz,Weiblich
1900,18,272,Ausland,Weiblich
1900,18,1075,Schweiz,Männlich
1900,18,350,Ausland,Männlich
1950,18,56,Schweiz,Weiblich
1950,18,44,Ausland,Weiblich
1950,18,63,Schweiz,Männlich
1950,18,43,Ausland,Männlich
2017,18,145,Schweiz,Weiblich
2017,18,123,Ausland,Weiblich
2017,18,103,Schweiz,Männlich
2017,18,144,Ausland,Männlich
1900,19,1209,Schweiz,Weiblich
1900,19,370,Ausland,Weiblich
1900,19,1205,Schweiz,Männlich
1900,19,468,Ausland,Männlich
1950,19,126,Schweiz,Weiblich
1950,19,92,Ausland,Weiblich
1950,19,84,Schweiz,Männlich
1950,19,75,Ausland,Männlich
2017,19,315,Schweiz,Weiblich
2017,19,210,Ausland,Weiblich
2017,19,213,Schweiz,Männlich
2017,19,251,Ausland,Männlich
1900,20,1450,Schweiz,Weiblich
1900,20,442,Ausland,Weiblich
1900,20,1470,Schweiz,Männlich
1900,20,578,Ausland,Männlich
1950,20,204,Schweiz,Weiblich
1950,20,167,Ausland,Weiblich
1950,20,118,Schweiz,Männlich
1950,20,163,Ausland,Männlich
2017,20,399,Schweiz,Weiblich
2017,20,283,Ausland,Weiblich
2017,20,343,Schweiz,Männlich
2017,20,246,Ausland,Männlich
1900,21,1614,Schweiz,Weiblich
1900,21,505,Ausland,Weiblich
1900,21,1634,Schweiz,Männlich
1900,21,679,Ausland,Männlich
1950,21,214,Schweiz,Weiblich
1950,21,239,Ausland,Weiblich
1950,21,179,Schweiz,Männlich
1950,21,233,Ausland,Männlich
2017,21,408,Schweiz,Weiblich
2017,21,338,Ausland,Weiblich
2017,21,362,Schweiz,Männlich
2017,21,387,Ausland,Männlich
